m,re_key,qu_1,m_1,unit_1,qu_2,m_2,unit_2,lookups_item_key,l_p,s,r,url,finalMap,
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN,slaw,slaw,http://www.littlekitchenbigworld.com/jerk-salmon-sweet-summer-slaw/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NN,for the burger,for the burger,http://www.thefoodgirl.com/crab-rangoon-burger/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 small red onion,1 small red onion,http://lookingfordelights.com/lavocado-salsa-oil-free/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
